,Sentence
366,when backing out of garage steering freezes and can not turn steering wheel shows steering assist malfunction service required turn of and on will come back on last 4 times this was a problem with 2011-2013 and 2015-2017 for some reason no recall on 2014 heard the power steering has gone out on people when driving on highway this is my wifes car if it happens to her i am sure she will not be able to controll the car any accidents or deaths reported because of this took to dealer because i always have it serviced at dealer they said it needs power steering rack and stab links cost to repair 236577 why are
367,while driving the tires felt like they were being locked up to keep from fishtailing even though roads were clear and dry with normal acceleration after driving parked vehicle and sat in it for an hour afterwards turned vehicle on and the screen stated to service esc stabilitrak lane assist and parking assist light came on after a couple hours with the vehicle off and drove a block the warning lights turned off and became normal then after an hour of the vehicle sitting and turned off for an hour we began driving on the highway after an hour of driving the screen stated to service esc again stabilitrak lane assist and parking assist light came
368,while driving 70 mph on i81 in va the power steering on our 2016 ford explorer with less than 70000 miles died the only warning was a message on the dash saying lane keeping syst malfunction and steering assist fault after wrestling the car to a safe site i shut if off upon restarting the car the steering returned to normal while driving to the nearest ford dealer to have it checked out if failed again the dealership performed pinpoint test b for u3000 code stored in the pscm their recommendation was replacement of the electric power steering gear asy pn fb5z3504w at a cost
369,tl the contact owns a 2018 toyota tacoma the contact stated that while driving at various speeds the collision avoidance system activated without a vehicle in close proximity the contact stated that the lane assist warning light also was inoperable the vehicle was taken to bill wright toyota located at 5100 gasoline alley dr bakersfield ca 93313 661398-8697 to be diagnosed the mechanic was unable to retrieve a fault code or duplicate the failure the vehicle was not repaired the manufacturer was contacted and informed of the failure the approximate failure mileage was 300000
370,while pulling out of a parking spot my power steering failed NAME no power assist i shut the car off briefly and restarted it and the steering was normal the next stop was30 minutes later and the same thing happened except this time the power steering did not return warning messages power steering assist fault and service advance track appeared looking up recall information my vehicles problem exactly matched recall 15v340000 issued in 2015 however my local ford dealer stated my car was not included in the recall because of where it was manufactured the recall seems to be a scam with an easy out for ford on this dangerous condition it should be expanded to cover the real-world
371,after starting vehicle using the mygmc app i received the following warnings 1 service trailer brake system 2 steering assist is reduced drive with care 3 service esc 4 brake system failure 62 mph top speed 5 check engine light vehicle was stationary and i did not drive afterwards truck was in for service last week to complete recent recalls and replace a leaky rear window when i pick the truck up i noticed the lane keep assist lane departure warning intellibeam headlight forward collision alert and other functions associated with the window mounted camera system were inoperable i have an appointment already scheduled for that and will add this for the dealer to investigate truck
372,power steering assist malfunctioned and wont come back on
373,experienced a False positive related to automatic braking system while driving brakes locked up and tires screeched there was nothing in front of the car and luckily no one was behind me
374,my vehicle is a 2018 mercedes-benz e63s on the highway or in town it reports brake-assist inoperable blind spot assist inoperable distance assist inoperable plus the cruise control has stopped working the trouble occurs intermittently they are not False messages the items reported do stop working thats exceedingly dangerous because the vehicle establishes a False sense of security beyond that the engine in the car has lost power numerous times that could be calamitous if you were passing and a car suddenly came at you head-on i have reported this to mercedes benz but they have failed to do anything they act as if they
375,my truck shuts its self off as your driving at any speed i was doing 50 on the highway today when it shut down with no warning i pulled of the road put it in park turned the key off and it restarted the truck has also had many other isues when i took the dealer for the break recall there were 5 coads all were electrical issuesthe steering assist comes on when driving along minding your own business
376,i was almost in a rollover accident on oct 7 2019 i was travelling on state highways from auburn pa to hershey pa at apprx 930am roads were dampwet but rain had stopped since i purchased my vehicle i had always engaged all safety features including lane keep assist lka collision alerts etc this was main reason i upgraded from my 2014 equinox on rt 183 heading up a winding mountain road i almost lost control several times despite driving well under speed limit note my bf and i had previously complained to dealer and even had it in for service bc we both felt car pulled to the right on its own we are
377,editadditional note to my earlier complaint number 11300604 this sudden acceleration with tesla happen when using withwithout auto pilot i observed many times during athis unintended acceleration happen even when driving normally without auto pilot though i am not pressing gas pedal especially observed in the city road speeds around 30-45 mph whn using auto pilot on freeways this happened arounbd 55-70mph speeds too b also this unintended acceleration happen when battery is at 20-40 of range c also happen whenver there is a new software update this unitended acceleration popped up many occasionsdont remember exact times
378,tl the contact owns a 2011 ford fusion the contact stated that while his daughter was driving at about 30 mph the steering assist warning light illuminated the driver pulled into the parking lot and the vehicle experienced the power steering failure the contact called the charlie henderson ford inc located at 105 u s 90 waveland ms 395760 and was informed that the vehicle was over the mileage and therefore not covered by a warranty program the vehicle was not repaired the manufacturer was made aware of the failure and stated that the vehicle was not covered the failure mileage was approximately 19200000
379,tl the contact owns a 2018 tesla model 3 the contact stated that while driving approximately 70 mph while in the auto pilot mode and with the vehicle merging onto a ramp which is descending downward with on coming vehicles stopped approximately 200 feet ahead the auto pilot did not deactivate and slow the vehicle causing the vehicle to crash into the rear of a second vehicle during the crash no injuries were reported a police report was taken at the scene 9675200000000 the vehicle was destroyed and towed away the manufacturer and local dealer tesla of costa mesa 3140 pullman rd costa mesa ca were notified of the incident the failure mileage was
380,the vehicle has frequently had an issue with the infotainment system glitching which leads to the lkas lane keep assist aac adaptive cruise control and lane departure system to fail while the vehicle is in motion when turning the car off after these issues occur the infotainment system will stay on draining the battery the vehicle has been taken to a honda dealership the dealership stated that an update would fix this issue once we informed them and they confirmed that the system was already updated they told is there was nothing we could do the only way we can stop the infotainment system from staying on is by removing the fuse for the
381,turned car on in driveway and service esc light came on traction control stability control and driver front and lane assist all disengaged unable to manually turn back on through steering controls stopped the vehicle parked in a parking lot and turned on and off multiple times and the service esc light was still on drove to destination with the service esc light still on turned off vehicle waited a few minutes turned it back on and the service esc light was off contacted local chevy dealers service department was told to drive around for a couple more days and see if the issue returns if it does return after a few days recommended to schedule service
382,autopilot was engaged the tesla vehicle sensors failed to recognize 2 parked vehicles on the right side of the street while driving and collided with them anti-collision mechanism and auto-braking failed to apply resulting in collision
383,power steering randomly failed when i turned the car on to pull it out of garage power steering assists fault or something unable to steer the car easily read online that this is a pretty common problem with this model year can happen while driving all surrounding years have been recalled already was lucky i was not on a high speed road or could have had an accident as would not have been able to steer the car
384,power steering assist fault came on and i lost power steering fortunately i was in my driveway and not on the interstate
385,tl the contact owns a 2014 infiniti q50 the contact stated that whiled driving the steering wheel seized and became difficult to turn as a result the steering wheel was turned with excessive forced the power steering assist warning light illuminated indicating steering chassis system control error the vehicle was taken to warren henry infiniti dealer 2300 ne 151st st north miami fl 33181 -305 652-9999 and was diagnosed that power steering module might needed to be replaced or a software update the vehicle was not repaired the manufacturer was made aware of the failure but did not assist the failure mileage was approximately 8900000
386,while driving my 2013 ford flex the power steering disappeared and i almost lost control of the vehicle i pulled over and turned it off when i started it back up the power steering returned to normal i stopped at my destination but when i returned to leave i found that the power steering was not responding i drove it home with great difficulty this repeated several times over the next two weeks functioning at the start of the day but failing after the vehicle was turned off the power steering finally gave out altogether i checked and found that there was a recall that was announced on june 2 of 2015 for this exact issue covering ford flexes from 2010 to 2013 i scheduled
387,forward emergency braking feb activating when not needed january 11th 2020 first day of owning infniti q50 luxe 30t no packages only feb which is standard on all q50 now driving home from kelly infiniti of denvers ma dealership allen rd extention - speed limit 30mph slightly windy road wet possibility of black ice all of a sudden with not a single car ahead of me and no cars going toward me - car starts to brake like collussion to some imaginary object is unavoidable was able to stay on the road few days after that - driving from nashua nh to my house at
388,power steering stop working and error code power steering assist fault is displayed
389,the power steering quit working and the message power steering assist fault showed up
390,this complaint is not the result of an accident but to prevent one from happening and possible taking lives of people the keep lane assist lka is dangerous in that if you are depending on it there are occasions that normal traffic lines are present and for some reason the just disappear and are not present and it is possible for the vehicle to veer off the road or into the opposing lane general motors does provide a means of turning lka off but it re-enables every time the vehicle is started the auto stop as has the issue that if you stop and your vehicle stops running you can be in a situation where you cannot get out of the
391,i was driving trying tu turn into intersection and my steering wheel stopped dont let me control no more almost crashed then and message pop up on my dashboard says power steering assist fault have to take to the shop but was so scared just imagine if where driving on the freeway omg
392,tl the contact called on behalf of his daughter who owns the 2007 pontiac g6 the contact stated that while reversing out of the driveway the power steering assist warning light illuminated and the steering ceased the vehicle was turned off and back on and the vehicle operated as intended the contact stated that the failure recurred several days later the vehicle was taken to an independent mechanic who diagnosed the vehicle and determined that the steering wheel assembly was faulty and needed to be replaced the vehicle was not repaired no dealer was contacted the contact referenced the nhtsa campaign number 15v064000 steering as a possible solution to the failure the manufacturer was
393,2013 ford escape with less than 90000 miles went to crank car and steering assist fault came up on dash cut car off and recranked and was fine next day was driving it on a rural road and lost power steering same fault came up now no power steering at all if wife had been driving she would have probably wrecked because of hard steering looked online and see it has been a problem with this model and no recall has been issued
394,the automatic emergency braking system abruptly engages the brakes when there are no objects in front of the vehicle this has occurred on several occasions while the vehicle was in motion on city streets
395,my car has a front emergency braking system this system is located at the front of the car in lower grille the sensor detects when a vehicle in front of you has stopped as you get closer to the vehicle if you do not stop the car will sound a 3-beep alert notifying you to stop if you still do not stop the car will apply the brakes and force the car to stop to prevent an accident i was driving home when the 3-beep alert sounded and the dashboard display started flashing red and white lights a message on the display stated that a crash was imminent then the brakes engaged suddenly and the car almost came
396,complete failure of the electric power steering assist
397,steering assist fault service required light and steering wheel locks up this has always happened when i first start my car and go to back up this has happened multiple times to me and i have read that this is a common problem with this car other years have had a recall this is a safety issue and needs to be looked into
398,certain lincoln mks 2013 have recalls on electric power steering and others do not unfortunately the one i own does not and my electric power steering has went out and saying power steering assist fault i was on hwy 29 doing about 60 mph when all of a sudden the light comes on and my steering tightened on me
399,while driving and vehicle in motion intermittently the following indicatorwarning lights come on stay on go off and come back on again without any pattern the bsdrcta warning the auto start stop hill descent control accident avoidancebraking lane assist and eyesight one or more warningindicator light comes on and then sometimes goes off every time i drive started on january 18th-still happening feb 1 2020 happens regardless of road condition dry wet temperature very cold warm 40 degrees or speed 25 mph to 60 mph this has happened on highway city rural roads the driver touches nothing and does nothing to beginend these sometimes the lights stay on and then when trip
400,driving at highway speed in the middle lane during heavy rain suddenly the steering became almost rigid fortunately we were able to get to the side of the road without incident the car had recently been recalled and repaired regarding the bolts on the power steering assist module obviously there remains an inherent design flaw in the steering assist function disabling steering capability that could have proven fatal the steering module has been replaced but we have lost confidence in the vehicle
401,2020 hyundai elantra consumer writes in regards to unintended acceleration ld the consumer stated the cruise control was activated while driving up a hill the vehicle sped up past the set speed the dealer and manufacturer were notified and stated the vehicle was operated as designed while driving the steering suddenly jerked to the left about 15 inches the dealer turned the sensitivity level on the lane assist also the vehicle does not a metal screen over the air intake for the heater this could allow rodents to enter into the cab js
402,while driving at or below the speed limit under dry conditions on curvy roads the vsc dash light comes on and engages with beeping and automatic braking the rapid deceleration and skidding as the tires lock-up makes control of the vehicle difficult and cars following must panic brake to avoid rear-ending my vehicle increasing occurrences over the past year
403,tl the contact owns 2012 ford f-150 the contact stated that while driving at 45 mph the steering assist light illuminated and the steering wheel became hard to turn the contact was able to control the steering wheel however extra effort was needed to maneuver the vehicle the vehicle was driven to the residence the vehicle was not taken to a dealer to have a diagnostic test performed or to have the vehicle repaired the manufacturer was contacted the failure mileage was 14600000
404,electronic power steering suddenly failed error message displayed power steering assist fault service advancetrac failure occurred at low speed shortly after startup
405,tl the contact owns a 2009 chevrolet malibu the contact stated that while driving approximately 45 mph an audible sound emitted from the steering wheel and the steering wheel ceased the power steering assist warning light illuminated the dealer was not called the manufacturer was not made aware of the failure the vehicle was not repaired the failure mileage was approximately 20000000 the vin was not provided
406,tl the contact owns a 2017 hyundai sonata while driving 65 mph with the adaptive cruise control engaged and changing lanes the vehicle independently slowed without warning the contact called key hyundai of salem 470 s broadway salem nh 3079 -603 841-3099 however the vehicle was not diagnosed nor repaired the manufacturer was contacted but no further assistance was provided the failure mileage was 200000
407,i have reached out to tesla 3 times to fix a sudden unintended acceleration issue 11 days after i reported the issue and they told me my car was ok to drive i got into a accident it took tesla 5 months to give back the reports of the crash in which they said it was my fault i have lost trust in the company and have seen that 127 other people have been affected by the same issue according to cnn please take care of this issue any tesla owner is a pioneer of a future creation after the accident they told me autopilot is on beta mode its not perfect yet they should not allow public to use a hazardous
408,driving on the highway message on the dashboard power steeringservice esc power assist steering stopped functioning while driving making it very difficult to steer drove approximately 5 miles with no power steering assist turned the car off restarted the car approximately 35 hours later - message was no longer on the dashboard and power steering assist was functioning this situation is similar to various complaints recorded on carcomplaintscomsaturnaurasteerigsteeringshtml
409,after starting my vehicle remotely using on-star my brakes stopped functioning properly after remote starting the vehicle using my on-star app we entered it depressed the brake and pressed the start button at that time i received multiple error messages stating brake system failure 62 mph top speed service esc steering assist is reduced drive with care i restarted the vehicle a number of times and the error messages went away i then began to drive home and after about 2 miles the error messages all came back and my brakes stopped functioning i was able to use the full force of my body on the brakes to get the vehicle to come to a stop from around 30 mph in
410,i own a 2012 ford focus sel an error code has come up for about 6 months when starting the car steering assist fault it will usually go away but on jan 13th 2020 i was leaving work and it would not go away and i could not move my car the error remained and i had to have the car towed because i could not steer the car at all i am active duty military living in germany on orders and my car is now at the ford garage with a quote of 1860 euro to fix the power steering this is unacceptable that ford has not recognized this as a need for a safety recall and car owners are having to pay thousands
411,vehicle suddenly would not start on 12212019 thus leaving my family and i stranded in a brand new vehicle reported to nissan roadside assistance bci malfunction warning see photo and the vehicle began to automatically apply the brake as i was driving and i could not override it i feel this is a safety issue as i had no control over the vehicle whatsoever vehicles automatic emergency braking system applies the brakes while in motion and when i do not intend for the brakes to be applied causing severe anxiety and fear of driving my brand new 60k vehicle
412,tl the contact owns a 2010 ford flex while driving 20- 30 mph the steering wheel became difficult to turn the contact also stated that the steering wheel also pulled to the left and to the right there were no warning lights illuminated there was an abnormal rubbing sound detected in the steering wheel the vehicle was taken to mel hambelton ford 11771 w kellogg ave wichita ks 67209 -316 462-3673 where it was diagnosed as the rack and pinion and power steering assist failed to operate as designed the vehicle was not repaired the manufacturer was contacted and informed of the failure the contact was referred to the nhtsa
413,tl the contact owns a 2013 ford escape the contact stated that while the vehicle was parked the power steering became inoperable the loss of power steering assist warning light illuminated the vehicle was taken to fairview ford sales inc located at 292 n g st san bernardino ca 92410 where the steering column was replaced the manufacturer was made aware of the failure and the contact was informed that the vehicle was not subjected to a recall the failure mileage was approximately 8400000
414,2020 chevrolet suburban upon vehicle start steering assist trailer brake system stability track all inop tachometer and speedometer inop no reverse gear when in drive only first gear obtainable and manual shift mode inop seat heat inop turned off and restarted approx five times and issues remained upon sixth restart issues no longer present drove 15 miles home vehicle sat 2 hours then restarted and operated normally for 2021-01-02 00:00:00 hour operation then turned off vehicle operated normally twice within two hour period parked overnight and in am remote started suburban and issues present again turning offf and restarting approximately 10 times did not resolve issue turning ignition off and then turning to on but
415,i started my car up and the warning came on saying power steering assist defaulti can not turn the wheel it is very hard to steeri brought this car used from the ford dealership on 092418my car was stationary but it could have happen on the highway i am glad it did not at 70 years old i thank godit is the electric power steering assist in these ford cars and they are dangerous i want my car fixed by ford
416,jerking back and forth of steering wheel would occur occasionally until power steering assistance failed power steering assist fault code would come on every so often i was driving down the highway while the code came on and didnt notice any difference in steering difficulty until i parked the car and shut the engine off then back on power steering is completely failing now resulting in increased force to get the car to turn
417,i was driving the car and the automatic braking system kicked in for no apparent reason
418,on two occasions the vehicle lost the power brakes function numerous dash alerts stating including service esc brake system failure 62mph top speed service trailer brake system steering assist is reduced drive with care along with a check engine light the brakes pedal had to be pushed to the floor to slowly come to a stop both times were in a parking lot one of which times i was moving dec 26th and again on jan 16th 2019 the vehicle was towed to the dealership on both incidents
419,the steering wheel would occasionally shake 1 in either direction for about 10 seconds while idling for about 2 days did that 2021-04-05 00:00:00 times each day it would stop while driving the 3rd day a sensor alarm went off about 60 seconds apart and by the 4th time it finally said this error message on the screen power steering assist fault all of this part occurred while driving on the interstate getting onto the exit ramp onto the main road through the neighborhood and parking into my driveway when looking up the code this was listed for a recall 1 tech at the dealership said it was a part of the recall another tech said it was not after all and i
420,upon driving the vehicle without notice the steering assist fault light came on and the power steering went out and almost hit another vehicle
421,i keep having issues where radar cruise and lane assist shut off randomly with the message that radar cruise is unavailable this has happened since new and has been looked at by toyota 4 times with no repair
422,lane keep assist freezes up steering wheel while driving making it hard to steer
423,started my car at work friday feb 7th and after a few seconds of sitting there in the parking lot a message popped up on my dash saying power steering assist fault my steering wheel wouldnt move shut my car off waited a minute started it back up waited another minute and no message havent seen it since but also know there has been recalls on fusions for this unsure if mine falls into this recall called ford dealership here and they couldnt tell me for sure whether there was a recall on my exact vehicle told me to wait it out to see if message comes back again told me to bring it in if message returns or starts having
424,power steering assist falt fault notice displayed intermittently at startup normally clearing with 2nd start this eventually resulted in total failure of the power steering
425,power steering assist fault first appeared january 9th 2020 - purchased vehicle with around 146000 miles on 2021-04-19 00:00:00 - we are the second owners first owner bought new and had detailed maintenance records - never had recall work done from 2014 regarding this issue took to paul miller ford lexington ky - stated ford should have to fix - but they wont because it is over 150000 miles power steering assist fault light came back on feb 7 2020 - and still remains on and un-driveable ford refuses to fix the issue and im not the only one there are several of us on forums being told the same thing i do not believe the previous recall
426,while driving my vehicle the power assist system gave out making it hard for me to turn my steering wheel a message appeared power steering assist fault i took my vehicle to ford dealership on friday february 2021-07-20 00:00:00 was told ford denied request because it was beyond time for a subsequent failure
427,brake system failure light steering assist reduced drive no faster than 62 mph service trailer brake service esc brakes went to the floor and did not want to stop
428,while driving on a county road my wife experienced a sudden loss of power steering the instrument panel behind the steering wheel displayed a power steering assist failure notification when she restarted the vehicle the notification went away and the power steering returned we took the vehicle to greg darnell ford in midwest city ok for diagnostics and were told a gear assembly in the steering column had gone bad part no hv6z-3504-cd the repair cost is 2129 after a 10 military discount the problem is very similar to nhtsa campaign 14v284000 for the 2008-2011 escape but the recall has not been extended to cover more recent model
429,vehicle has an intermittent issue where it will lose all power stall and electronic components will inherent sporadic behavior for instance the vehicle will refuse to completely shut-off the error message on the dash show power steering assist failure this typically happens on a daily basis after the vehicle has sat for the night it is a safety concerns as the car will randomly stall on the interstate driving at interstate speeds the vehicle is under fords extended warranty and has been to -2 separate dealers to troubleshoot the first dealer could not reproduce the issue the dealer it is currently at has been able to reproduce the issue multiple times but not sure the root of the problem as
430,my pickup started i pulled out on road and sped up to 35 mph when i stepped on brakes to slow down they were unresponsive so i began pumping they felt very hard to pump and were not slowing the truck down lights came on saying service brakes etc as i coasted to try to slow down off side of road i had to keep pumping the brakes down to floorboard and im not sure they were even working i lost power steering and was almost involved in a serious rear-end collision 4 messages appeared on digital dash while driving service esc brake system failure 62 mph top speed service trailer brake system steering assist reduced i had
431,while driving at 70mph on the freeway we attempted to open the web browser app the entire ui froze during this time i could not exit autopilot by pressing the brake pedal the car would decelerate when pressing the brake however after pressing the brake the car immediately accelerated back to the set cruise control speed after around 30 total seconds around 10 seconds after attempting to exit autopilot the ui unfroze and i was able to exit autopilot
432,steering assist fault- no steering control will not turn left or right vehicle was stationary after parking start car no steering NAME assist fault
433,the 2019 sprinter has a serious problem with the active lane keeping assist feature alka a few weeks ago i drove the van from san diego to mammoth mountain bishop ca i didnt feel the crosswind was a danger but i had two hands on the wheel to be prepared just in case as i had experience issues with the active lane keeping assist feature in the past and it can not be permanently disabled a burst of wind hit me and it pushed me onto the right solid white line i had a fair amount of tarmac outside the line to my right so i wasnt that concerned with my tires being on top of the line but the van
434,for the first ten months after purchasing a brand new 2019 honda pilot touring i was treated as one of hondas guinea pigs i was putting my familys lives at increased risk losing time at work and going through immense stress while honda attempted to solve a major electrical issue with my vehicle through my extensive proactive efforts and numerous times leaving the vehicle with the dealer a solution was eventually found after the final repair was completed it became apparent the extent of the impact the faulty wiring had on the vehicles safety and function after the electrical issue was corrected the overall operation of the vehicle was significantly different than the day the vehicle was purchased no more near accident causing
435,ive had my tesla since december 24th 2019 the car was given to me without a test drive and said to have a seven day guarantee the car was defective from the moment i got it automatically accelerating and acting sporadically when engaged in auto pilot the battery life is has often been one third of what i paid for and tesla will be servicing it for the third time tomorrow the car is dangerous and not reliable they would not take my car back because they told me i was part of a government rebate that invalidates my ability to return the erratic vehicle with poor mileage among other issues my car also has window alignment issues bubbles in paint
436,while driving my 2018 nissan rogue to work on a sunny florida morning i experienced a technical issue with my vehicle around 800 am est while slowing down applying my brakes as i approached a major intersection with traffic my rogue suddenly accelerated on its own accord causing me to crash into a vehicle in front of me during the acceleration the vehicles onboard automated emergency braking system was sounding alarms but did not brake the vehicle instead it felt like the vehicle was accelerated instead a loud grinding sound could be heard at the point of impact with the vehicle in front of me and for about a second or so afterwards thankfully the speed was low only resulting in minor body damage to my
437,i was driving on the 15n freeway about 1 mile south of the hw 78 on feb 10 2020 at aprox 0730am i had autopilot engaged and i was driving in a straight line not changing lanes at normal freeway speeds suddenly i was spinning out and hit the right side wall of the freeway totaling my car unfortunately i dont have a clear memory of how the event started i just remember running in autopilot on my way to work then spinning out and hitting the wall once the event started it was unrecoverable and was over in a few seconds
438,tl the contact owns a 2013 ford focus the contact was unable to steer the vehicle the dealer diagnosed vehicle with defective power steering needing an interior gear replacement the contact was unable to drive the vehicle the vehicle had to be repaired out of pocket the contact stated that while driving approximately 60 mph the steering ability became very hard the contact stated that the failure had been occurring for approximately two years the power steering assist failure illuminated every time the vehicle was turned on the vehicle was taken to the shottenkirk ford jasper 868 georgia 515 jasper ga30143 twice they determined interior gear replacement needed the manufacturer was notified of the failure the vehicle
439,honda pilot 2018 with 20555 miles has a digital display car was on adaptive cruise weather was fine my speed was approximately 61mph when the speed limit changed to 65mph as hwy became i73 i used acceleration button on right hand column 4 touches to increase speed 1 mph per touch to 65mph car began to rapidly accelerated to 79mph last digital speed i saw and im sure higher as i tried to gain control my foot had been off pedal while cruise was on so i looked and touched the gas peddle with my right foot to see what was happening pedal was depressed at this point i believe i turned off
440,2015 colorado truck lost power steering assist several times vehicle was very hard to steer and could have resulted in a crash especially for someone with a weaker upper body stopping vehicle and restarting cleared the problem for a very short period of time then it would happen again general motors said it was out of warranty and would not compensate any of the 200000 put out to repair vehicle
441,tl the contact owns a 2016 ford explorer the contact stated that while driving at 5 mph making a left turn the steering wheel ceased with the remote hill start assist not available service advance trac power steering assist warning light illuminated the contact veer to the shoulder of the road placed the vehicle in park turned the vehicle off and back on which failed to resume normal operation the vehicle was towed to bommarito ford located at 675 dunn rd hazelwood mo 63042 -314 895-0600 where a diagnostic test was still pending the manufacturer was made aware of the failure the failure mileage was approximately 2800000
442,pulled from pump after fueling and steering assist reduced warning popped up steering wheel was tight and hard to turn also reverse would not work
443,in motion on a street a power steering assist fault warning came on shortly after lost power steering informed by ford it was fixed after recall on sep 22nd 2014 and is no longer valid or covered same problem happening again as the first recall
444,randomly receiving power steering assist fault and steeringcar pulls to side sometimes when going over bumps
445,intermittently the safety system items stop working- adaptive cruise lane assist etc this happens even when there is no rain fog physical obstruction etc after few hours it starts working happens every few weeks
446,i have had this vehicle for 18000 miles now and i have noticed serious issues with the braking system when i apply the brakes i have to almost completely floor the brake pedal in order for the car to stop i had a 2015 honda cr-v for three years and it never had any issues like that in other words the brake pedal is too soft compared to similar vehicles this is especially problematic for shorter drivers like my mother because she has small feet and she needs to lift her entire foot to transition between the gasbrake pedals putting her at a slight disadvantage i contacted the toyota dealership regarding this issue but they told me that it
447,our 2010 mercury milan has 45000 miles as we were backing out of our garage a power steering assist fault message displayed in the message center and all power steering had stopped we had the car towed to be checked and the whole electrical power steering mechanism had to be replaced we learned there have been thousands of complaints with 2010-2014 models however the 2010 model was not included in the recall along with the 2011 and newer models with all of the data proving that the 2010 mercury milans had the same faulty power steering we need to know why they werent included our bill to repair this was 194831 we are very thankful that it happened in the
448,on wednesday 2122020 while driving home i detected subtle signs of steering control irregularities and attributed it to icy road conditions the following morning 2132020 on my drive into work the steering condition began to appear again and intensified i was fortunate to have made it to my place of employment and promptly scheduled a service appointment the following day friday 2142020 when i left work that day i discovered a complete loss of steering assist to the degree that it would be impossible to safely control the car the effort to steer to any normal safe degree was compromised and required that i abandon any attempt to drive the vehicle if the severe intensity manifested itself while driving the
449,i drove my 2009 ford escape to a local gas station and it was running fine i shut the car down and when i came back out from the store and went to leave i had absolutely no power steering the message power steering assist fault came across the dash
450,while driving our 2018 wrangler jl in 20-30 degree temperature the steering assist locked up causing my wife to drive the vehicle off of the road while in a slow sweeping curve after a second or two the steering re-engaged as she was trying to steer back onto the road and she suddenly veered back onto the road a few seconds later it happened again fortunately nothing was struck and no one was injured after the vehicle continued to warm up the lockup did not occur again this was 3 weeks ago two days ago while starting out driving in mid 30 degree temperatures the steering again locked up for about a second before reengaging
451,while driving my car completely lost steering there are 3 lights that immediately appeared service advance trac steering assist service fault and hill start assist not available this same issue happened once before in october and i turned the car off and back on and had no problems now this same problem is occurring again i turned the car off and back on and the steering went back to normal but now its occurring once again within the last two days and my steering wheel will not move at all ive looked into this problem online and ive seen that a lot of people have been having this same issue even after buying the car brand new in 2015 ford has this same
452,car started normally when leaving the home with autostarter drove to a gas station parked went inside came back out and the car prompted with a power steering assist fault error attempted to drive no power steering turned off car restarted and issue remained upon getting the car to a mechanic reported full power steering failure requiring full replacement of power steering rack and pin
453,i bought the blazer in may 2019 first 4 months was fine starting oct 8 while driving the car i had to turn off one highway onto another i hit resume on the adaptive cruise control and it would not resume displayed adaptive cruise control temporarily unavailable i tried several times got home parked when i left for work hours later it worked fine on oct 10 18 nov 21 while driving- the car would beep 3 times and the adaptive cruise control would shut off took it to dealer on 2021-11-07 00:00:00 for this problem on 2021-12-27 00:00:00 they replayed a front camera didnt get it home and it shut off again also on dec 31 back to
454,lack of power steering assist the steering effort is greater especially at low speeds after an appointment for recall the vehicle is complete lack the vehicle was not repaired and not drivable and theyre asking for 5 hours of diagnostic
455,while driving the steering has a large amount of play fails to hold a straight line and requires constant correction at highway and interstate speeds it is difficult to keep the vehicle in the desired lane especially around curves and restricted lanes steering assist system feels as though it goes in and out daily in addition vehicle steering wheel does not return to center when turning and requires driver correction after turning dealership has inspected vehicle and noticed some drivability issues a tsb 19-002-19 was done for a steering damper issue but additional steering issues were noticed floating on the front end was reported by test driving tech but after checking alignment claimed everything was in
456,vehicle software update removed safety items ie when vehicle is in motion and is in pilot assist mode lane avoidance audio warning sound and steering wheel pull back crash avoidance audio warning sound when not in cruise control pilot assist no longer works at all volvo states software updates removed these items issue is i was not informed of the removal of these items i bought the car because it was equipped with those items volvo removed them without my permission or even notifying me the update would degrade my vehicle volvo states they are unwilling to remove the software or even modify it for individual customers these are safety issues volvo complaint reference number is available if needed vehicle mileage 38026
457,power steering assist fault has displayed back onto my dash vehicle has no power steering ford recall was previously issued which lead to re-programming the sensor years ago now the fault has returned and ford will not do anything about it power steering torque sensor replaced and the fault is still present with no power steering makes driving dangerous
458,vehicle displays automatic braking system not available while driving
459,lost power steering assist while driving in a parking lot the message center displayed power steering system fault instantaneous loss of power steering while driving is extremely dangerous i was lucky enough to be traveling at a low speed in a parking lot i seriously hope ford will issue a recall and repair our vehicles
460,the power steering assist fault light came on and vehicle could not be controlled we were in a store parking lot and going slow out of a parking spot so there was no damage if this happened on the road doing 35 mph things could have been very different
461,my vehicle applies the brakes while driving on busy roads when nothing is in my path ive almost been rear ended a few times because of it and hyundai has no resolution then also my vehicle has lane assist and the computer fought me steering the wheel while driving down the highway hyundai replaced steering components in the vehicle but dont know why it happened so they never diagnosed the problem we have tried to go to hyundai about the issue but basically they only care about our money we pay and not our safety
462,my tesla model 3 keeps unintentionally and erratically braking while in motion using the autopilot or cruise control on the highway i have multiple dates and times of this incident happening this is known as phantom braking a False positive that the autopilot system engages inthis happens at random areas and time day or evening on the freeway i have contacted tesla service and they have given me the cold shoulder and stated there is no fix for this
